time,CH1
-0.4472,0.6
-0.4471,0.62
-0.447,0.64
-0.4469,0.65
-0.4468,0.65
-0.4467,0.66
-0.4466,0.66
-0.4465,0.66
-0.4464,0.68
-0.4463,0.6900000000000001
-0.4462,0.6900000000000001
-0.4461,0.68
-0.446,0.68
-0.4459,0.6900000000000001
-0.4458,0.6900000000000001
-0.4457,0.81
-0.4456,0.91
-0.4455,0.97
-0.4454,1.05
-0.4453,1.11
-0.4452,1.16
-0.4451,1.18
-0.445,1.22
-0.4449,1.25
-0.4448,1.27
-0.4447,1.28
-0.4446,1.29
-0.4445,1.29
-0.4444,1.31
-0.44430000000000003,1.31
-0.4442,1.32
-0.4441,1.33
-0.444,1.33
-0.4439,1.33
-0.4438,1.32
-0.4437,1.3800000000000001
-0.4436,1.42
-0.4435,1.44
-0.4434,1.48
-0.4433,1.51
-0.4432,1.53
-0.4431,1.54
-0.443,1.57
-0.4429,1.59
-0.44279999999999997,1.57
-0.4427,1.6
-0.4426,1.61
-0.4425,1.59
-0.4424,1.62
-0.4423,1.59
-0.4422,1.61
-0.4421,1.61
-0.442,1.61
-0.4419,1.62
-0.44179999999999997,1.62
-0.4417,1.3900000000000001
-0.4416,1.12
-0.4415,0.91
-0.4414,0.75
-0.4413,0.58
-0.4412,0.51
-0.4411,0.4
-0.441,0.35000000000000003
-0.4409,0.27
-0.44079999999999997,0.22
-0.4407,0.21
-0.4406,0.17
-0.4405,0.13
-0.4404,0.11
-0.4403,0.08
-0.4402,0.07
-0.4401,0.08
-0.44,0.06
-0.4399,0.05
-0.43979999999999997,0.04
-0.4397,0.17
-0.4396,0.33
-0.4395,0.43
-0.4394,0.55
-0.4393,0.63
-0.4392,0.68
-0.4391,0.73
-0.439,0.79
-0.4389,0.8
-0.43879999999999997,0.84
-0.4387,0.86
-0.4386,0.87
-0.4385,0.91
-0.4384,0.92
-0.4383,0.93
-0.4382,0.93
-0.4381,0.93
-0.438,0.9500000000000001
-0.4379,0.93
-0.43779999999999997,0.93
-0.4377,0.88
-0.4376,0.8200000000000001
-0.4375,0.77
-0.4374,0.74
-0.4373,0.71
-0.4372,0.68
-0.4371,0.67
-0.437,0.63
-0.4369,0.62
-0.43679999999999997,0.61
-0.4367,0.6
-0.4366,0.6
-0.4365,0.58
-0.4364,0.58
-0.4363,0.59
-0.4362,0.5700000000000001
-0.4361,0.5700000000000001
-0.436,0.58
-0.4359,0.5700000000000001
-0.43579999999999997,0.58
-0.4357,0.7000000000000001
-0.4356,0.99
-0.4355,1.21
-0.4354,1.37
-0.4353,1.51
-0.43520000000000003,1.61
-0.4351,1.71
-0.435,1.79
-0.4349,1.84
-0.43479999999999996,1.8900000000000001
-0.4347,1.94
-0.4346,1.96
-0.4345,1.99
-0.4344,2.0
-0.4343,2.02
-0.43420000000000003,2.05
-0.4341,2.07
-0.434,2.06
-0.4339,2.09
-0.43379999999999996,2.08
-0.4337,2.15
-0.4336,2.35
-0.4335,2.49
-0.4334,2.6
-0.4333,2.69
-0.43320000000000003,2.7600000000000002
-0.4331,2.81
-0.433,2.87
-0.4329,2.9
-0.43279999999999996,2.95
-0.4327,2.96
-0.4326,2.98
-0.4325,3.0300000000000002
-0.4324,3.02
-0.4323,3.0300000000000002
-0.43220000000000003,3.0300000000000002
-0.4321,3.0700000000000003
-0.432,3.0500000000000003
-0.4319,3.0700000000000003
-0.4318,3.0700000000000003
-0.4317,2.9
-0.4316,2.37
-0.4315,1.97
-0.4314,1.6600000000000001
-0.4313,1.41
-0.4312,1.21
-0.4311,1.04
-0.431,0.88
-0.4309,0.78
-0.4308,0.68
-0.43069999999999997,0.63
-0.4306,0.56
-0.4305,0.51
-0.4304,0.46
-0.4303,0.44
-0.4302,0.4
-0.4301,0.39
-0.43,0.36
-0.4299,0.35000000000000003
-0.4298,0.32
-0.42969999999999997,0.48
-0.4296,0.88
-0.4295,1.21
-0.4294,1.46
-0.4293,1.67
-0.4292,1.83
-0.4291,1.96
-0.429,2.07
-0.4289,2.17
-0.4288,2.22
-0.42869999999999997,2.29
-0.4286,2.34
-0.4285,2.37
-0.4284,2.38
-0.4283,2.43
-0.4282,2.46
-0.4281,2.46
-0.428,2.5
-0.4279,2.5
-0.4278,2.5
-0.42769999999999997,2.5100000000000002
-0.4276,2.32
-0.4275,2.18
-0.4274,2.09
-0.4273,2.0100000000000002
-0.4272,1.94
-0.4271,1.8800000000000001
-0.427,1.84
-0.4269,1.79
-0.4268,1.76
-0.42669999999999997,1.73
-0.4266,1.72
-0.4265,1.7
-0.4264,1.71
-0.4263,1.68
-0.4262,1.68
-0.4261,1.67
-0.426,1.6600000000000001
-0.4259,1.6500000000000001
-0.4258,1.6500000000000001
-0.42569999999999997,1.69
-0.4256,1.9000000000000001
-0.4255,2.06
-0.4254,2.21
-0.4253,2.33
-0.4252,2.41
-0.4251,2.47
-0.425,2.54
-0.4249,2.58
-0.4248,2.62
-0.42469999999999997,2.65
-0.4246,2.68
-0.4245,2.7
-0.4244,2.73
-0.4243,2.7600000000000002
-0.4242,2.7600000000000002
-0.4241,2.77
-0.424,2.7800000000000002
-0.4239,2.7800000000000002
-0.4238,2.7800000000000002
-0.42369999999999997,2.7800000000000002
-0.4236,2.68
-0.4235,2.61
-0.4234,2.5500000000000003
-0.4233,2.5
-0.4232,2.46
-0.4231,2.42
-0.423,2.41
-0.4229,2.38
-0.4228,2.37
-0.42269999999999996,2.34
-0.4226,2.32
-0.4225,2.31
-0.4224,2.33
-0.4223,2.32
-0.4222,2.32
-0.42210000000000003,2.2800000000000002
-0.422,2.3000000000000003
-0.4219,2.3000000000000003
-0.4218,2.3000000000000003
-0.42169999999999996,2.3000000000000003
-0.4216,2.08
-0.4215,1.95
-0.4214,1.83
-0.4213,1.73
-0.4212,1.6600000000000001
-0.42110000000000003,1.59
-0.421,1.53
-0.4209,1.5
-0.4208,1.47
-0.42069999999999996,1.45
-0.4206,1.4000000000000001
-0.4205,1.4000000000000001
-0.4204,1.37
-0.4203,1.37
-0.4202,1.37
-0.42010000000000003,1.36
-0.42,1.33
-0.4199,1.35
-0.4198,1.33
-0.41969999999999996,1.33
-0.4196,1.6600000000000001
-0.4195,1.94
-0.4194,2.13
-0.4193,2.32
-0.4192,2.46
-0.41910000000000003,2.58
-0.419,2.66
-0.4189,2.74
-0.4188,2.7800000000000002
-0.4187,2.85
-0.41859999999999997,2.91
-0.4185,2.93
-0.4184,2.95
-0.4183,2.98
-0.4182,3.0
-0.4181,2.99
-0.418,3.0
-0.4179,3.0300000000000002
-0.4178,3.02
-0.4177,3.06
-0.41759999999999997,2.79
-0.4175,2.62
-0.4174,2.48
-0.4173,2.36
-0.4172,2.24
-0.4171,2.18
-0.417,2.1
-0.4169,2.05
-0.4168,2.02
-0.4167,1.99
-0.41659999999999997,1.96
-0.4165,1.92
-0.4164,1.9100000000000001
-0.4163,1.8900000000000001
-0.4162,1.8800000000000001
-0.4161,1.87
-0.416,1.85
-0.4159,1.87
-0.4158,1.86
-0.4157,1.84
-0.41559999999999997,1.9100000000000001
-0.4155,1.98
-0.4154,2.0300000000000002
-0.4153,2.06
-0.4152,2.1
-0.4151,2.12
-0.415,2.14
-0.4149,2.18
-0.4148,2.16
-0.4147,2.18
-0.41459999999999997,2.17
-0.4145,2.19
-0.4144,2.2
-0.4143,2.21
-0.4142,2.2
-0.4141,2.21
-0.414,2.22
-0.4139,2.24
-0.4138,2.21
-0.4137,2.23
-0.41359999999999997,1.94
-0.4135,1.7
-0.4134,1.5
-0.4133,1.36
-0.4132,1.23
-0.4131,1.12
-0.413,1.05
-0.4129,0.99
-0.4128,0.92
-0.4127,0.87
-0.41259999999999997,0.84
-0.4125,0.8200000000000001
-0.4124,0.78
-0.4123,0.77
-0.4122,0.75
-0.4121,0.75
-0.412,0.74
-0.4119,0.73
-0.4118,0.72
-0.4117,0.7000000000000001
-0.41159999999999997,0.8200000000000001
-0.4115,0.91
-0.4114,0.99
-0.4113,1.03
-0.4112,1.07
-0.4111,1.1
-0.411,1.1300000000000001
-0.4109,1.17
-0.4108,1.18
-0.4107,1.21
-0.41059999999999997,1.2
-0.4105,1.21
-0.4104,1.23
-0.4103,1.24
-0.4102,1.23
-0.4101,1.24
-0.41,1.25
-0.4099,1.25
-0.4098,1.25
-0.4097,1.26
-0.40959999999999996,1.1300000000000001
-0.4095,1.05
-0.4094,0.96
-0.4093,0.92
-0.4092,0.88
-0.4091,0.8300000000000001
-0.40900000000000003,0.8200000000000001
-0.4089,0.78
-0.4088,0.77
-0.4087,0.74
-0.40859999999999996,0.73
-0.4085,0.71
-0.4084,0.71
-0.4083,0.7000000000000001
-0.4082,0.71
-0.4081,0.71
-0.40800000000000003,0.6900000000000001
-0.4079,0.68
-0.4078,0.67
-0.4077,0.67
-0.40759999999999996,0.89
-0.4075,1.1300000000000001
-0.4074,1.28
-0.4073,1.42
-0.4072,1.53
-0.4071,1.6300000000000001
-0.40700000000000003,1.69
-0.4069,1.75
-0.4068,1.8
-0.4067,1.85
-0.40659999999999996,1.8800000000000001
-0.4065,1.9000000000000001
-0.4064,1.9100000000000001
-0.4063,1.94
-0.4062,1.95
-0.4061,1.98
-0.406,1.98
-0.4059,1.98
-0.4058,1.99
-0.4057,1.99
-0.4056,2.02
-0.40549999999999997,2.0300000000000002
-0.4054,2.05
-0.4053,2.06
-0.4052,2.08
-0.4051,2.08
-0.405,2.09
-0.4049,2.09
-0.4048,2.11
-0.4047,2.13
-0.4046,2.12
-0.40449999999999997,2.14
-0.4044,2.14
-0.4043,2.12
-0.4042,2.14
-0.4041,2.14
-0.404,2.14
-0.4039,2.12
-0.4038,2.14
-0.4037,2.14
-0.4036,2.12
-0.40349999999999997,2.12
-0.4034,2.12
-0.4033,2.11
-0.4032,2.1
-0.4031,2.14
-0.403,2.14
-0.4029,2.13
-0.4028,2.12
-0.4027,2.11
-0.4026,2.12
-0.40249999999999997,2.11
-0.4024,2.14
-0.4023,2.13
-0.4022,2.12
-0.4021,2.12
-0.402,2.1
-0.4019,2.12
-0.4018,2.11
-0.4017,2.11
-0.4016,2.14
-0.40149999999999997,2.17
-0.4014,2.21
-0.4013,2.22
-0.4012,2.23
-0.4011,2.2800000000000002
-0.401,2.27
-0.4009,2.3000000000000003
-0.4008,2.2800000000000002
-0.4007,2.3000000000000003
-0.4006,2.3000000000000003
-0.40049999999999997,2.31
-0.4004,2.3000000000000003
-0.4003,2.32
-0.4002,2.31
-0.4001,2.31
-0.4,2.3000000000000003
-0.3999,2.31
-0.3998,2.32
-0.3997,2.31
-0.3996,2.32
-0.39949999999999997,2.31
-0.3994,2.33
-0.3993,2.3000000000000003
-0.3992,2.3000000000000003
-0.3991,2.3000000000000003
-0.399,2.29
-0.3989,2.3000000000000003
-0.3988,2.3000000000000003
-0.3987,2.3000000000000003
-0.3986,2.2800000000000002
-0.39849999999999997,2.3000000000000003
-0.3984,2.3000000000000003
-0.3983,2.2800000000000002
-0.3982,2.2800000000000002
-0.3981,2.27
-0.398,2.3000000000000003
-0.3979,2.3000000000000003
-0.3978,2.3000000000000003
-0.3977,2.2800000000000002
-0.3976,2.3000000000000003
-0.39749999999999996,2.3000000000000003
-0.3974,2.2800000000000002
-0.3973,2.27
-0.3972,2.3000000000000003
-0.3971,2.3000000000000003
-0.397,2.2800000000000002
-0.3969,2.2800000000000002
-0.3968,2.2800000000000002
-0.3967,2.29
-0.3966,2.3000000000000003
-0.39649999999999996,2.27
-0.3964,2.2800000000000002
-0.3963,2.2800000000000002
-0.3962,2.3000000000000003
-0.3961,2.3000000000000003
-0.396,2.27
-0.39590000000000003,2.2800000000000002
-0.3958,2.2800000000000002
-0.3957,2.2800000000000002
-0.3956,2.07
-0.39549999999999996,1.6600000000000001
-0.3954,1.34
-0.3953,1.11
-0.3952,0.9
-0.3951,0.74
-0.395,0.61
-0.39490000000000003,0.51
-0.3948,0.42
-0.3947,0.33
