time,CH1
-0.4029,1.97
-0.4028,2.11
-0.4027,1.86
-0.4026,1.6400000000000001
-0.40249999999999997,1.47
-0.4024,1.35
-0.4023,1.22
-0.4022,1.32
-0.4021,1.41
-0.402,1.49
-0.4019,1.54
-0.4018,1.53
-0.4017,1.41
-0.4016,1.21
-0.40149999999999997,1.08
-0.4014,0.96
-0.4013,0.87
-0.4012,1.12
-0.4011,1.42
-0.401,1.62
-0.4009,1.84
-0.4008,2.0
-0.4007,1.96
-0.4006,1.9000000000000001
-0.40049999999999997,1.87
-0.4004,1.81
-0.4003,1.81
-0.4002,1.96
-0.4001,2.13
-0.4,2.3000000000000003
-0.3999,2.41
-0.3998,2.5100000000000002
-0.3997,2.29
-0.3996,1.97
-0.39949999999999997,1.73
-0.3994,1.51
-0.3993,1.37
-0.3992,1.44
-0.3991,1.6400000000000001
-0.399,1.79
-0.3989,1.9100000000000001
-0.3988,1.99
-0.3987,2.16
-0.3986,2.33
-0.39849999999999997,2.5
-0.3984,2.6
-0.3983,2.69
-0.3982,2.66
-0.3981,2.57
-0.398,2.5
-0.3979,2.45
-0.3978,2.38
-0.3977,2.41
-0.3976,2.5
-0.39749999999999996,2.57
-0.3974,2.63
-0.3973,2.64
-0.3972,2.62
-0.3971,2.5100000000000002
-0.397,2.39
-0.3969,2.32
-0.3968,2.25
-0.3967,2.19
-0.3966,2.08
-0.39649999999999996,1.99
-0.3964,1.93
-0.3963,1.87
-0.3962,1.8900000000000001
-0.3961,2.07
-0.396,2.2
-0.39590000000000003,2.31
-0.3958,2.41
-0.3957,2.36
-0.3956,1.9100000000000001
-0.39549999999999996,1.57
-0.3954,1.31
-0.3953,1.09
-0.3952,0.97
-0.3951,1.2
-0.395,1.37
-0.39490000000000003,1.5
-0.3948,1.61
-0.3947,1.67
-0.3946,1.5
-0.39449999999999996,1.3900000000000001
-0.3944,1.3
-0.3943,1.21
-0.3942,1.1500000000000001
-0.3941,1.35
-0.394,1.5
-0.39390000000000003,1.6
-0.3938,1.7
-0.3937,1.76
-0.3936,2.07
-0.39349999999999996,2.25
-0.39339999999999997,2.41
-0.3933,2.5300000000000002
-0.3932,2.63
-0.3931,2.37
-0.393,2.13
-0.3929,1.96
-0.3928,1.83
-0.3927,1.71
-0.3926,1.98
-0.3925,2.2
-0.39239999999999997,2.38
-0.3923,2.5100000000000002
-0.3922,2.62
-0.3921,2.44
-0.392,2.2600000000000002
-0.3919,2.12
-0.3918,2.02
-0.3917,1.93
-0.3916,1.83
-0.3915,1.76
-0.39139999999999997,1.71
-0.3913,1.6600000000000001
-0.3912,1.6300000000000001
-0.3911,1.71
-0.391,1.8
-0.3909,1.86
-0.3908,1.9000000000000001
-0.3907,1.97
-0.3906,2.19
-0.3905,2.38
-0.39039999999999997,2.5300000000000002
-0.3903,2.67
-0.3902,2.7600000000000002
-0.3901,2.57
-0.39,2.2600000000000002
-0.3899,2.0300000000000002
-0.3898,1.87
-0.3897,1.72
-0.3896,1.61
-0.3895,1.46
-0.38939999999999997,1.36
-0.3893,1.28
-0.3892,1.22
-0.3891,1.31
-0.389,1.49
-0.3889,1.62
-0.3888,1.76
-0.3887,1.83
-0.3886,1.67
-0.3885,1.34
-0.38839999999999997,1.1
-0.3883,0.87
-0.3882,0.74
-0.3881,0.6900000000000001
-0.388,0.8
-0.3879,0.9
-0.3878,0.9500000000000001
-0.3877,1.01
-0.3876,1.03
-0.3875,0.98
-0.38739999999999997,0.96
-0.3873,0.92
-0.3872,0.9
-0.3871,0.93
-0.387,1.02
-0.3869,1.11
-0.3868,1.18
-0.3867,1.22
-0.3866,1.31
-0.3865,1.5
-0.38639999999999997,1.62
-0.3863,1.75
-0.3862,1.82
-0.3861,1.84
-0.386,1.78
-0.3859,1.73
-0.3858,1.72
-0.3857,1.6500000000000001
-0.3856,1.58
-0.3855,1.4000000000000001
-0.38539999999999996,1.24
-0.3853,1.1300000000000001
-0.3852,1.02
-0.3851,0.99
-0.385,1.18
-0.3849,1.32
-0.3848,1.43
-0.3847,1.51
-0.3846,1.62
-0.3845,1.8900000000000001
-0.38439999999999996,2.13
-0.3843,2.31
-0.3842,2.44
-0.3841,2.5500000000000003
-0.384,2.4
-0.3839,2.29
-0.3838,2.2
-0.3837,2.14
-0.3836,2.1
-0.3835,2.22
-0.38339999999999996,2.31
-0.3833,2.36
-0.3832,2.45
-0.3831,2.48
-0.383,2.22
-0.3829,1.99
-0.3828,1.84
-0.3827,1.71
-0.3826,1.6
-0.3825,1.84
-0.38239999999999996,2.09
-0.3823,2.27
-0.3822,2.39
-0.3821,2.5100000000000002
-0.382,2.13
-0.3819,1.75
-0.38180000000000003,1.44
-0.3817,1.21
-0.3816,0.99
-0.3815,1.1
-0.38139999999999996,1.23
-0.3813,1.34
-0.3812,1.3900000000000001
-0.3811,1.44
-0.381,1.62
-0.3809,1.81
-0.3808,1.96
-0.3807,2.07
-0.3806,2.16
-0.3805,2.0300000000000002
-0.38039999999999996,1.87
-0.38029999999999997,1.77
-0.3802,1.67
-0.3801,1.59
-0.38,1.78
-0.3799,2.06
-0.3798,2.27
-0.3797,2.45
-0.3796,2.58
-0.3795,2.32
-0.3794,1.93
-0.37929999999999997,1.61
-0.3792,1.3800000000000001
-0.3791,1.18
-0.379,1.03
-0.3789,0.92
-0.3788,0.84
-0.3787,0.75
-0.3786,0.6900000000000001
-0.3785,0.78
-0.3784,0.9500000000000001
-0.37829999999999997,1.09
-0.3782,1.19
-0.3781,1.28
-0.378,1.3800000000000001
-0.3779,1.48
