CH1,CH3,CH4,Ts
-1.560390625e+2,3.760000000e+1,-1.256277500e+1,
-1.590000000e+2,3.720000000e+1,-1.220400000e+1,
-1.570234375e+2,3.739843750e+1,-1.247520000e+1,
-1.579765625e+2,3.760000000e+1,-1.238621250e+1,
-1.580156250e+2,3.759843750e+1,-1.247520000e+1,
-1.570078125e+2,3.780312500e+1,-1.247520000e+1,
-1.579375000e+2,3.799843750e+1,-1.247520000e+1,
-1.590546875e+2,3.759843750e+1,-1.238480000e+1,
-1.569687500e+2,3.799687500e+1,-1.220329375e+1,
-1.600078125e+2,3.740625000e+1,-1.238268125e+1,
-1.569921875e+2,3.719531250e+1,-1.229581250e+1,
-1.580156250e+2,3.780156250e+1,-1.211501250e+1,
-1.600000000e+2,3.759843750e+1,-1.238409375e+1,
-1.580000000e+2,3.780000000e+1,-1.229440000e+1,
-1.600078125e+2,3.740468750e+1,-1.229440000e+1,
-1.590000000e+2,3.718125000e+1,-1.219835000e+1,
-1.579609375e+2,3.779843750e+1,-1.247520000e+1,
-1.619843750e+2,3.759843750e+1,-1.220470625e+1,
-1.610078125e+2,3.779218750e+1,-1.256771875e+1,
-1.600000000e+2,3.740625000e+1,-1.238480000e+1,
-1.600000000e+2,3.820156250e+1,-1.247661250e+1,
-1.599843750e+2,3.740312500e+1,-1.247520000e+1,
-1.599609375e+2,3.720000000e+1,-1.238480000e+1,
-1.559765625e+2,3.740000000e+1,-1.229369375e+1,
-1.580234375e+2,3.779843750e+1,-1.229581250e+1,
-1.609843750e+2,3.760156250e+1,-1.247520000e+1,
-1.559843750e+2,3.820000000e+1,-1.238480000e+1,
-1.569843750e+2,3.759531250e+1,-1.238197500e+1,
-1.600000000e+2,3.779218750e+1,-1.211360000e+1,
-1.580000000e+2,3.760312500e+1,-1.238480000e+1,
-1.590078125e+2,3.740312500e+1,-1.229298750e+1,
-1.560078125e+2,3.779843750e+1,-1.202320000e+1,
-1.580000000e+2,3.740000000e+1,-1.238409375e+1,
-1.570000000e+2,3.800312500e+1,-1.229440000e+1,
-1.579843750e+2,3.760156250e+1,-1.229793125e+1,
-1.590000000e+2,3.739687500e+1,-1.211430625e+1,
-1.590000000e+2,3.760000000e+1,-1.248085000e+1,
-1.590000000e+2,3.739531250e+1,-1.256489375e+1,
-1.580156250e+2,3.740156250e+1,-1.229369375e+1,
-1.600000000e+2,3.759843750e+1,-1.247943750e+1,
-1.580078125e+2,3.739687500e+1,-1.256560000e+1,
-1.580000000e+2,3.759062500e+1,-1.256701250e+1,
-1.580078125e+2,3.800156250e+1,-1.238409375e+1,
-1.590000000e+2,3.819531250e+1,-1.238480000e+1,
-1.590000000e+2,3.739687500e+1,-1.247520000e+1,
-1.600000000e+2,3.760000000e+1,-1.238409375e+1,
-1.590234375e+2,3.800468750e+1,-1.229440000e+1,
-1.580000000e+2,3.800156250e+1,-1.229440000e+1,
-1.580078125e+2,3.758593750e+1,-1.256489375e+1,
-1.569843750e+2,3.820000000e+1,-1.229298750e+1,
-1.570312500e+2,3.739687500e+1,-1.211289375e+1,
-1.600312500e+2,3.759843750e+1,-1.256842500e+1,
-1.599765625e+2,3.700468750e+1,-1.238338750e+1,
-1.590078125e+2,3.800156250e+1,-1.220400000e+1,
-1.600000000e+2,3.740156250e+1,-1.238409375e+1,
-1.589843750e+2,3.780000000e+1,-1.247449375e+1,
-1.600625000e+2,3.740000000e+1,-1.238480000e+1,
-1.550078125e+2,3.779843750e+1,-1.238621250e+1,
-1.589921875e+2,3.720781250e+1,-1.247378750e+1,
-1.580312500e+2,3.820156250e+1,-1.238550625e+1,
-1.570000000e+2,3.740000000e+1,-1.265600000e+1,
-1.579921875e+2,3.800000000e+1,-1.256489375e+1,
-1.580000000e+2,3.719843750e+1,-1.247520000e+1,
-1.590078125e+2,3.800156250e+1,-1.238550625e+1,
-1.599687500e+2,3.780000000e+1,-1.256560000e+1,
-1.560000000e+2,3.780156250e+1,-1.238480000e+1,
-1.599843750e+2,3.760000000e+1,-1.256630625e+1,
-1.610000000e+2,3.720000000e+1,-1.229228125e+1,
-1.550000000e+2,3.739687500e+1,-1.229440000e+1,
-1.569843750e+2,3.740000000e+1,-1.247661250e+1,
-1.600000000e+2,3.740000000e+1,-1.229440000e+1,
-1.580078125e+2,3.740000000e+1,-1.265529375e+1,
-1.590156250e+2,3.760000000e+1,-1.247943750e+1,
-1.569921875e+2,3.779843750e+1,-1.229440000e+1,
