CH1,CH2,CH3,CH4,Ts
2.643437500e+2,-8.059375000e-2,-2.929687500e-2,7.015625000e-2,
2.721875000e+2,-9.678125000e-2,1.562500000e-4,3.109375000e-2,
2.677343750e+2,-9.146875000e-2,-1.984375000e-2,3.789062500e-2,
2.659843750e+2,-8.806250000e-2,-2.054687500e-2,5.117187500e-2,
2.637656250e+2,-9.200000000e-2,-1.953125000e-2,3.000000000e-2,
2.599218750e+2,-9.193750000e-2,-2.125000000e-2,4.906250000e-2,
2.617500000e+2,-8.925000000e-2,-1.070312500e-2,4.101562500e-2,
2.639687500e+2,-7.984375000e-2,-1.906250000e-2,3.976562500e-2,
2.655625000e+2,-9.978125000e-2,-3.046875000e-2,2.000000000e-2,
2.705156250e+2,-8.850000000e-2,-1.000000000e-2,3.031250000e-2,
2.566406250e+2,-8.387500000e-2,-3.000000000e-2,7.007812500e-2,
2.596406250e+2,-8.790625000e-2,-9.609375000e-3,6.062500000e-2,
2.595312500e+2,-8.800000000e-2,-1.000000000e-2,2.992187500e-2,
2.694843750e+2,-8.825000000e-2,-2.054687500e-2,4.054687500e-2,
2.664687500e+2,-8.356250000e-2,-4.960937500e-2,4.976562500e-2,
2.602968750e+2,-9.215625000e-2,9.375000000e-4,4.007812500e-2,
2.578750000e+2,-8.000000000e-2,-2.125000000e-2,6.062500000e-2,
2.678281250e+2,-9.556250000e-2,-3.000000000e-2,5.898437500e-2,
2.680312500e+2,-8.781250000e-2,-3.023437500e-2,2.953125000e-2,
2.661562500e+2,-7.615625000e-2,-2.898437500e-2,4.156250000e-2,
2.600312500e+2,-8.803125000e-2,-2.125000000e-2,6.000000000e-2,
2.656562500e+2,-7.993750000e-2,-4.945312500e-2,3.796875000e-2,
2.680468750e+2,-8.815625000e-2,-5.468750000e-3,2.187500000e-2,
2.642343750e+2,-9.200000000e-2,-1.093750000e-3,5.945312500e-2,
2.617812500e+2,-8.384375000e-2,-1.000000000e-2,3.054687500e-2,
2.718281250e+2,-7.215625000e-2,-1.156250000e-2,6.992187500e-2,
2.683125000e+2,-8.846875000e-2,-3.062500000e-2,2.867187500e-2,
2.619687500e+2,-8.350000000e-2,-1.921875000e-2,5.039062500e-2,
2.616875000e+2,-8.459375000e-2,-2.046875000e-2,2.960937500e-2,
2.719843750e+2,-9.209375000e-2,-1.929687500e-2,5.140625000e-2,
2.642500000e+2,-8.321875000e-2,7.812500000e-4,4.992187500e-2,
2.656562500e+2,-7.596875000e-2,-3.906250000e-4,4.976562500e-2,
2.681406250e+2,-8.450000000e-2,-1.085937500e-2,2.984375000e-2,
2.642656250e+2,-1.000000000e-1,-3.078125000e-2,2.992187500e-2,
2.601250000e+2,-8.800000000e-2,-2.914062500e-2,4.992187500e-2,
2.579375000e+2,-8.378125000e-2,-1.000000000e-2,5.007812500e-2,
2.615937500e+2,-9.178125000e-2,-3.085937500e-2,5.000000000e-2,
2.676562500e+2,-8.865625000e-2,8.281250000e-3,6.000000000e-2,
2.700468750e+2,-8.365625000e-2,-1.367187500e-2,6.000000000e-2,
2.679375000e+2,-9.118750000e-2,-1.820312500e-2,5.992187500e-2,
2.659687500e+2,-9.215625000e-2,1.046875000e-2,6.000000000e-2,
2.659687500e+2,-9.187500000e-2,-2.984375000e-2,5.023437500e-2,
2.661093750e+2,-9.228125000e-2,-2.960937500e-2,4.117187500e-2,
2.679218750e+2,-8.796875000e-2,0.000000000e+0,1.968750000e-2,
2.617500000e+2,-9.203125000e-2,-2.992187500e-2,5.914062500e-2,
2.601093750e+2,-8.806250000e-2,-2.992187500e-2,5.000000000e-2,
2.663906250e+2,-9.196875000e-2,-2.023437500e-2,6.976562500e-2,
2.699062500e+2,-8.450000000e-2,-3.906250000e-4,6.039062500e-2,
2.637656250e+2,-7.612500000e-2,2.000000000e-2,3.992187500e-2,
2.640937500e+2,-7.593750000e-2,-9.921875000e-3,7.000000000e-2,
2.638281250e+2,-9.153125000e-2,-9.687500000e-3,4.078125000e-2,
2.559375000e+2,-9.609375000e-2,-1.562500000e-4,3.953125000e-2,
2.620000000e+2,-9.193750000e-2,-4.015625000e-2,4.015625000e-2,
2.640000000e+2,-9.603125000e-2,-1.070312500e-2,3.015625000e-2,
2.580468750e+2,-8.809375000e-2,9.375000000e-3,3.968750000e-2,
2.622031250e+2,-8.800000000e-2,-2.015625000e-2,6.984375000e-2,
2.719843750e+2,-8.806250000e-2,3.125000000e-4,5.015625000e-2,
2.659218750e+2,-9.193750000e-2,-2.078125000e-2,3.000000000e-2,
2.679843750e+2,-8.006250000e-2,-2.000000000e-2,4.945312500e-2,
2.619531250e+2,-9.196875000e-2,2.000000000e-2,6.039062500e-2,
2.620156250e+2,-7.578125000e-2,-7.812500000e-4,4.015625000e-2,
2.640156250e+2,-8.846875000e-2,-2.992187500e-2,4.000000000e-2,
2.679843750e+2,-9.590625000e-2,-1.992187500e-2,4.984375000e-2,
2.680625000e+2,-8.406250000e-2,-7.812500000e-5,4.992187500e-2,
2.640000000e+2,-8.390625000e-2,-3.125000000e-4,5.007812500e-2,
2.640312500e+2,-8.768750000e-2,-3.000000000e-2,4.992187500e-2,
2.620000000e+2,-9.221875000e-2,1.562500000e-4,7.007812500e-2,
2.639843750e+2,-8.006250000e-2,-9.765625000e-3,6.015625000e-2,
2.660000000e+2,-9.140625000e-2,-9.375000000e-4,5.000000000e-2,
2.679843750e+2,-9.259375000e-2,7.031250000e-4,5.023437500e-2,
2.660000000e+2,-8.737500000e-2,-8.828125000e-3,4.906250000e-2,
2.660000000e+2,-1.005312500e-1,-1.195312500e-2,7.109375000e-2,
2.619687500e+2,-8.478125000e-2,3.906250000e-4,2.125000000e-2,
