CH1,CH2,CH4,Ts,parameter,value
2.680156250e+2,-9.206250000e-2,1.600000000e+1,,,
2.699843750e+2,-9.200000000e-2,1.600000000e+1,,,
2.679843750e+2,-1.040625000e-1,1.600000000e+1,,,
2.700156250e+2,-1.079687500e-1,1.699218750e+1,,,
2.720000000e+2,-9.200000000e-2,1.400000000e+1,,,
2.719843750e+2,-1.040625000e-1,1.299218750e+1,,,
2.699531250e+2,-1.000000000e-1,1.600000000e+1,,,
2.699687500e+2,-1.199687500e-1,1.402343750e+1,,,
2.779843750e+2,-8.775000000e-2,1.498437500e+1,,,
2.719687500e+2,-9.609375000e-2,1.799218750e+1,,,
2.720156250e+2,-9.206250000e-2,1.400000000e+1,,,
2.660000000e+2,-1.040937500e-1,1.497656250e+1,,,
2.720156250e+2,-1.000937500e-1,1.597656250e+1,,,
2.640000000e+2,-1.000312500e-1,1.700781250e+1,,,
2.740000000e+2,-9.603125000e-2,1.398437500e+1,,,
2.759531250e+2,-1.040000000e-1,1.400000000e+1,,,
2.699218750e+2,-9.590625000e-2,1.300000000e+1,,,
2.640156250e+2,-9.606250000e-2,1.400000000e+1,,,
2.680156250e+2,-9.606250000e-2,1.400000000e+1,,,
2.680000000e+2,-9.200000000e-2,1.500000000e+1,,,
2.740000000e+2,-1.000625000e-1,1.698437500e+1,,,
2.720000000e+2,-1.080000000e-1,1.895312500e+1,,,
2.780000000e+2,-9.584375000e-2,1.300000000e+1,,,
2.720312500e+2,-9.196875000e-2,1.898437500e+1,,,
2.740156250e+2,-9.206250000e-2,1.600000000e+1,,,
2.699687500e+2,-1.037187500e-1,1.700781250e+1,,,
2.760156250e+2,-1.079375000e-1,1.400781250e+1,,,
2.698750000e+2,-1.000312500e-1,1.400781250e+1,,,
2.681250000e+2,-1.039687500e-1,1.700781250e+1,,,
2.760781250e+2,-9.196875000e-2,1.700000000e+1,,,
2.739531250e+2,-9.596875000e-2,1.600000000e+1,,,
2.739687500e+2,-8.796875000e-2,1.799218750e+1,,,
2.719687500e+2,-9.584375000e-2,1.501562500e+1,,,
2.759531250e+2,-1.040000000e-1,1.400000000e+1,,,
2.740156250e+2,-8.803125000e-2,1.603125000e+1,,,
2.699843750e+2,-1.001250000e-1,1.799218750e+1,,,
2.739687500e+2,-9.590625000e-2,1.400000000e+1,,,
2.720468750e+2,-9.203125000e-2,1.700000000e+1,,,
2.700312500e+2,-9.975000000e-2,1.603906250e+1,,,
2.721562500e+2,-1.080312500e-1,1.498437500e+1,,,
2.799843750e+2,-9.193750000e-2,1.900781250e+1,,,
2.719218750e+2,-9.212500000e-2,1.598437500e+1,,,
2.740156250e+2,-1.001250000e-1,1.499218750e+1,,,
2.720000000e+2,-9.978125000e-2,1.701562500e+1,,,
2.760000000e+2,-8.400000000e-2,1.699218750e+1,,,
2.740000000e+2,-9.968750000e-2,1.601562500e+1,,,
2.680000000e+2,-9.993750000e-2,1.500000000e+1,,,
2.760000000e+2,-9.593750000e-2,1.600000000e+1,,,
2.780000000e+2,-9.609375000e-2,1.798437500e+1,,,
2.699843750e+2,-9.993750000e-2,1.700000000e+1,,,
2.740000000e+2,-9.196875000e-2,1.400000000e+1,,,
2.820312500e+2,-9.600000000e-2,1.594531250e+1,,,
2.739843750e+2,-8.800000000e-2,1.600000000e+1,,,
2.780781250e+2,-9.203125000e-2,1.500781250e+1,,,
2.779062500e+2,-9.609375000e-2,1.800781250e+1,,,
2.698750000e+2,-1.038750000e-1,1.696875000e+1,,,
2.722187500e+2,-9.206250000e-2,1.596875000e+1,,,
2.840156250e+2,-1.080312500e-1,1.499218750e+1,,,
2.760000000e+2,-9.209375000e-2,1.800000000e+1,,,
2.719843750e+2,-1.000000000e-1,1.498437500e+1,,,
2.719843750e+2,-8.803125000e-2,1.396093750e+1,,,
2.740000000e+2,-1.040625000e-1,1.800000000e+1,,,
2.739843750e+2,-9.187500000e-2,1.399218750e+1,,,
2.759218750e+2,-9.606250000e-2,1.599218750e+1,,,
2.780312500e+2,-9.600000000e-2,1.599218750e+1,,,
2.718125000e+2,-9.600000000e-2,1.798437500e+1,,,
2.701250000e+2,-9.600000000e-2,1.599218750e+1,,,
2.779843750e+2,-9.609375000e-2,2.000000000e+1,,,
2.699531250e+2,-9.990625000e-2,1.600000000e+1,,,
2.760312500e+2,-8.800000000e-2,1.800000000e+1,,,
2.720000000e+2,-1.002187500e-1,1.599218750e+1,,,
2.780156250e+2,-1.000000000e-1,1.801562500e+1,,,
2.740312500e+2,-1.000000000e-1,1.400000000e+1,,,
2.759375000e+2,-8.800000000e-2,1.697656250e+1,,,
2.760156250e+2,-1.041562500e-1,1.996093750e+1,,,
2.700000000e+2,-9.978125000e-2,1.497656250e+1,,,
2.739843750e+2,-8.809375000e-2,1.700000000e+1,,,
2.738906250e+2,-1.000937500e-1,1.700000000e+1,,,
2.840468750e+2,-9.606250000e-2,1.700000000e+1,,,
2.719218750e+2,-1.000000000e-1,1.700000000e+1,,,
2.801406250e+2,-9.603125000e-2,1.700000000e+1,,,
2.799375000e+2,-9.996875000e-2,1.801562500e+1,,,
2.719531250e+2,-9.193750000e-2,1.901562500e+1,,,
2.700000000e+2,-9.615625000e-2,1.600000000e+1,,,
2.740312500e+2,-1.000312500e-1,1.700781250e+1,,,
2.800156250e+2,-8.790625000e-2,1.900000000e+1,,,
2.800000000e+2,-8.806250000e-2,1.702343750e+1,,,
2.800000000e+2,-8.796875000e-2,1.700000000e+1,,,
2.820000000e+2,-8.809375000e-2,1.900000000e+1,,,
2.720000000e+2,-1.004375000e-1,1.701562500e+1,,,
2.760000000e+2,-1.037187500e-1,1.700000000e+1,,,
2.739843750e+2,-8.400000000e-2,1.802343750e+1,,,
2.779687500e+2,-9.218750000e-2,1.600000000e+1,,,
2.820000000e+2,-1.040312500e-1,1.902343750e+1,,,
2.759218750e+2,-9.596875000e-2,2.000781250e+1,,,
2.760781250e+2,-9.587500000e-2,1.900000000e+1,,,
2.839843750e+2,-8.812500000e-2,1.399218750e+1,,,
2.759531250e+2,-1.040312500e-1,1.700000000e+1,,,
2.780000000e+2,-9.625000000e-2,1.800000000e+1,,,
